,image paths,A,B,Head Length
0,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/026_03.jpg,2025,2025,1119.6088602721934
1,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/121_03.jpg,2025,2025,1158.2918457798103
2,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/070_03.jpg,2025,2025,1126.2557436035565
3,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/102_03.jpg,2025,2025,1146.043629186952
4,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/033_03.jpg,2025,2025,1104.0289851267494
5,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/008_03.jpg,2025,2025,1141.7950779364921
6,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/003_03.jpg,2025,2025,1104.0018115927166
7,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/027_03.jpg,2025,2025,1054.0170776605094
8,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/101_03.jpg,2025,2025,1160.0431026474835
9,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/014_03.jpg,2025,2025,1036.9339419654466
10,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/038_03.jpg,2025,2025,1192.4848007417118
11,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/002_03.jpg,2025,2025,1188.0420867965915
12,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/132_03.jpg,2025,2025,1078.4748490345057
13,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/082_03.jpg,2025,2025,1124.571029326294
14,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/120_03.jpg,2025,2025,1070.1868995647442
15,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/144_03.jpg,2025,2025,1057.279527844931
16,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/020_03.jpg,2025,2025,1066.0469032833405
17,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/043_03.jpg,2025,2025,1150.293875494432
18,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/131_03.jpg,2025,2025,1028.0019455234508
19,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/022_03.jpg,2025,2025,934.0
20,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/041_03.jpg,2025,2025,1162.1394064396923
21,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/173_03.jpg,2025,2025,1096.0656914619672
22,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/115_03.jpg,2025,2025,1086.736398580631
23,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/097_03.jpg,2025,2025,1056.683490928102
24,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/136_03.jpg,2025,2025,1012.44456638376
25,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/139_03.jpg,2025,2025,1047.2917454081264
26,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/127_03.jpg,2025,2025,1058.3704455435252
27,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/100_03.jpg,2025,2025,1086.3608976762741
28,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/143_03.jpg,2025,2025,1134.0017636670589
29,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/128_03.jpg,2025,2025,1120.0642838694573
30,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/122_03.jpg,2025,2025,1128.0159573339376
31,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/117_03.jpg,2025,2025,1104.1467293797505
32,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/129_03.jpg,2025,2025,1127.7056353499347
33,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/031_03.jpg,2025,2025,1074.0912437963545
34,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/004_03.jpg,2025,2025,1080.0074073820049
35,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/108_03.jpg,2025,2025,1046.1548642528983
36,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/042_03.jpg,2025,2025,1184.9320655632541
37,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/104_03.jpg,2025,2025,970.0020618534787
38,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/081_03.jpg,2025,2025,984.3982933751968
39,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/010_03.jpg,2025,2025,1098.5900054160334
40,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/123_03.jpg,2025,2025,964.1327709397705
41,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/062_03.jpg,2025,2025,1210.3718436910203
42,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/091_03.jpg,2025,2025,1022.0489225081155
43,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/141_03.jpg,2025,2025,1050.047617967871
44,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/012_03.jpg,2025,2025,1056.121205165392
45,/home/teakoo/Landmark-Agnostic-FIQA/img_test/test_output/neutral_front_max/140_03.jpg,2025,2025,1131.591799192624
